@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric
@attribute outputs-11 numeric
@attribute outputs-12 numeric
@attribute outputs-13 {0,1,2,3,4,5,6,7,8,9,10}
@attribute outputs-14 {0,1,2,3,4,5,6,7,8,9,10}
@attribute outputs-15 {0,1,2,3,4,5,6,7,8,9,10}

@data
4967,'2020/03/29 19:05:33:199',6,-153.233902,228.420807,63.992271,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4968,'2020/03/29 19:05:33:217',6,-151.805115,226.452057,63.179268,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4969,'2020/03/29 19:05:33:236',6,-150.566315,224.67865,62.493855,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4970,'2020/03/29 19:05:33:253',6,-149.605713,223.37471,61.984436,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4971,'2020/03/29 19:05:33:271',6,-148.909363,222.635574,61.478516,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4972,'2020/03/29 19:05:33:286',6,-148.334167,222.250168,61.012547,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4973,'2020/03/29 19:05:33:305',6,-148.130478,222.313995,60.704067,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4974,'2020/03/29 19:05:33:321',6,-148.270355,222.839432,60.355843,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4975,'2020/03/29 19:05:33:339',6,-148.874313,223.827194,60.085743,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4976,'2020/03/29 19:05:33:354',6,-149.697617,225.061401,59.901432,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4977,'2020/03/29 19:05:33:382',6,-150.710709,226.439316,59.813042,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4978,'2020/03/29 19:05:33:392',6,-151.504852,227.430466,59.689884,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4979,'2020/03/29 19:05:33:412',6,-152.080109,227.908081,59.400326,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4980,'2020/03/29 19:05:33:428',6,-152.298172,227.674362,58.939396,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4981,'2020/03/29 19:05:33:444',6,-151.959976,226.623978,58.27013,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4982,'2020/03/29 19:05:33:465',6,-151.082901,224.802246,57.354988,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4983,'2020/03/29 19:05:33:481',6,-149.850784,222.496994,56.430767,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4984,'2020/03/29 19:05:33:500',6,-148.453598,220.135086,55.683483,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4985,'2020/03/29 19:05:33:516',6,-147.120148,218.306808,55.352257,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4986,'2020/03/29 19:05:33:534',6,-146.268433,217.37999,55.127537,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4987,'2020/03/29 19:05:33:554',6,-145.564453,217.316849,55.010452,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4988,'2020/03/29 19:05:33:564',6,-145.283188,217.960571,55.187134,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4989,'2020/03/29 19:05:33:590',6,-145.535324,219.230988,55.591446,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4990,'2020/03/29 19:05:33:600',6,-146.287689,220.945389,56.091225,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4991,'2020/03/29 19:05:33:622',6,-147.57901,223.029083,56.641132,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4992,'2020/03/29 19:05:33:638',6,-149.425964,225.370453,57.071442,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4993,'2020/03/29 19:05:33:656',6,-151.051666,227.239151,57.27639,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4994,'2020/03/29 19:05:33:669',6,-152.374634,228.298782,57.280827,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4995,'2020/03/29 19:05:33:688',6,-153.426392,228.493378,57.125168,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4996,'2020/03/29 19:05:33:705',6,-153.793732,227.554474,56.568455,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4997,'2020/03/29 19:05:33:723',6,-153.58696,225.728378,55.793594,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
