@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric
@attribute outputs-11 numeric
@attribute outputs-12 numeric
@attribute outputs-13 {0,1,2,3,4,5,6,7,8,9,10}
@attribute outputs-14 {0,1,2,3,4,5,6,7,8,9,10}

@data
29,'2020/04/15 17:22:15:940',1,0.600683,0.529567,357.858917,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
30,'2020/04/15 17:22:15:996',1,0.602754,0.529567,357.858917,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
31,'2020/04/15 17:22:16:015',1,0.602754,0.529567,357.858917,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
32,'2020/04/15 17:22:16:044',1,0.604737,0.529567,0.474989,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
33,'2020/04/15 17:22:16:071',1,0.604737,0.527302,357.290863,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
34,'2020/04/15 17:22:16:126',1,0.606796,0.527302,357.290863,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
35,'2020/04/15 17:22:16:139',1,0.606796,0.527302,0.188118,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
36,'2020/04/15 17:22:16:168',1,0.608818,0.527302,357.300629,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
37,'2020/04/15 17:22:16:206',1,0.608818,0.527302,0.186579,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
38,'2020/04/15 17:22:16:248',1,0.608818,0.527302,357.763458,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
